"Decision_Timing","Population_Trend","Fbar","Pbar"
"Jan/Sept","Decrease",2.25,1.62
"Jan/Sept","Stable",2.5,1.8
"Jan/Sept","Increase",2.75,1.98
"April_Cold","Decrease",2.25,1.585
"April_Cold","Stable",2.5,1.765
"April_Cold","Increase",2.75,1.945
"April_Warm","Decrease",2.25,1.659
"April_Warm","Stable",2.5,1.839
"April_Warm","Increase",2.75,2.019
